rank_final,school_name,city,state,public_private,admissions_homepage_url,common_data_set_url,catalog_programs_url,deadlines_url,url_verification_status,rank_confidence
1,Princeton University,Princeton,NJ,Private,https://admission.princeton.edu/,https://ir.princeton.edu/other-university-data/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
2,Massachusetts Institute of Technology,Cambridge,MA,Private,https://mitadmissions.org/,https://ir.mit.edu/project-topic/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
3,Harvard University,Cambridge,MA,Private,https://college.harvard.edu/admissions,https://oir.harvard.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
4,Stanford University,Stanford,CA,Private,https://admission.stanford.edu/,https://irds.stanford.edu/data-findings/undergraduate-admission,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 검증(CDS는 IRDS 대체),높음(학습데이터 기반)
5,Yale University,New Haven,CT,Private,https://admissions.yale.edu/,https://oir.yale.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
6,University of Pennsylvania,Philadelphia,PA,Private,https://admissions.upenn.edu/,https://ira.upenn.edu/penn-numbers/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
7,California Institute of Technology,Pasadena,CA,Private,https://www.admissions.caltech.edu/,https://iro.caltech.edu/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정),높음(학습데이터 기반)
8,Duke University,Durham,NC,Private,https://admissions.duke.edu/,https://provost.duke.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정, 호스트만 확인)",높음(학습데이터 기반)
9,Brown University,Providence,RI,Private,https://admission.brown.edu/,https://oir.brown.edu/institutional-data/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
10,Johns Hopkins University,Baltimore,MD,Private,https://apply.jhu.edu/,https://oira.jhu.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정, 호스트만 확인)",높음(학습데이터 기반)
